app_detail_url	country	created_for	data_sources	developers	lang	platforms	source_code_url	summary	technology	title	url
http://dati.comune.roma.it/applicazioni/findplace-sdk	Italy			Massimiliano Miglio - CST Advising e DS Tech	IT	Web		PROPOSTA APPS4ROMAPMI FindPlace SDK è una piattaforma di sviluppo software, dedicata alla community di sviluppatori software e alle Aziende IT, che si configura come un unico access point verso tanti datasource. FindPlace SDK aggrega in modo semi automatico ben 33 fonti dati eterogenee più i dati open di freebase, geonames e gli open data italiani e internazionali. FindPlace SDK si pone l’obbiettivo di essere una piattaforma di standardizzazione degli open data, sia dal punto di vista strutturale, sia dal punto di vista dei formati. Infatti, alcuni dei punti deboli che si riscontrano nella fruizione degli open data ai fini di implementazione di un’applicazione software è l’eterogeneità dei formati e della struttura dei dati, la mancanza di informazioni di geolocalizzazione nonché l’assenza di un unico punto di riferimento. 		FindPlace SDK		
http://dati.comune.roma.it/applicazioni/roma-infozone	Italy			Eustema Spa	IT	Web		PROPOSTA APPS4ROMAGRANDI AZIENDE Roma InfoZone è un’applicazione web open source ideata da Eustema per misurare la qualità della vita a RomaUtilizza i dati in formato aperto resi disponibili dall’Amministrazione Capitolina, correlandoli in modoefficace con informazioni generali prelevate dalla rete e rappresentandoli in forma accattivante.L’indice di qualità della vita è calcolato sulla base di molteplici fattori di natura economica, ambientale, sociale e culturale.		Roma InfoZone		
http://dati.comune.roma.it/applicazioni/roma-noi	Italy			Chiara Fabi - Associazione Cultura in Gioco	IT			PROPOSTA APPS4ROMAPMI ‘Roma per Noi’ è un’applicazione pensata per iphone, ipod e ipad. Il suo obiettivo è aiutare genitori e figli a gestire il proprio tempo libero, ritagliando una città a misura di bambino. Progettata dall’Associazione Cultura in Gioco, ‘Roma per Noi’ vuole offrire un servizio utile alla collettività, richiamando l’attenzione verso i bisogni dei più piccini. 		Roma per Noi		
http://dati.comune.roma.it/applicazioni/appersonam	Italy			Quality business srl	IT	Web		PROPOSTA APPS4ROMAPMI Semplice Applicazione per Smartphone nella quale l’UTENTE (CITTADINO DI ROMA) potrà riconoscersi in uno dei 9 profili disponibili al fine di collegarsi con i relativi dati informativi resi disponibili da Roma Capitale.La fruizione dei contenuti avverrà come segue:Passo 1: scelta del profiloPasso 2: selezione proposta disponibile sulla quale si desidera avere informazioniPasso 3: consultazione elenco delle informazioni disponibili relative alla proposta selezionata 		ApPERSONAM		
http://dati.comune.roma.it/applicazioni/voglio-andare	Italy			Paola Tuccinardi - Associazione di volontariato Madre Terra	IT	Web		PROPOSTA APPS4ROMAPMI Voglio andare… (in carrozzina, a Roma, tra monumenti e Aree verdi) è un progetto prevede la realizzazione di un’ App che, inizialmente solo su alcuni percorsi predefiniti tra le attrazioni più importanti del centro storico (monumenti e aree verdi), in seguito su più percorsi distribuiti nella città, restituisca, oltre alle informazioni turistiche sui punti di interesse stesso, anche informazioni riguardanti la percorribilità da parte di utenti con difficoltà di deambulazione. Oltre agli open data a disposizione sul sito di Roma Capitale si prevede di aggiungere dati relativi a: fondo stradale, presenza/assenza di automobili, cunette, marciapiedi percorribili o meno.		Voglio andare…		
http://dati.comune.roma.it/applicazioni/it-talks-me	Italy			Alessio Ciccarelli - Giulio Fantozzi	IT	Web		PROPOSTA APPS4ROMAPMI IT TALKS TO ME è un'applicazione per smartphone e tablet che permette al turista, semplicente attravarso un codice QR, di collegarsi alla pagina relativa al monumento che sta visitando in quel momento, e di ascoltare la relativa guida audio.  		IT TALKS TO ME		
http://dati.comune.roma.it/applicazioni/bikego	Italy			Lucia Di Giambattista - TransTec Services	IT	Web		PROPOSTA APPS4ROMAPMI Grazie all’utilizzo di un applicativo software basato sulla tecnologia "Augmented Print" , il progetto BikeGo crea un nuovo servizio culturale ed innovativo per i residenti e turisti che vogliano scoprire le strutture antiche e moderne della città Eterna, Roma, utilizzando la bicicletta ed ascoltando racconti o vedendo un video realizzati da giovani guide turistiche. Questo nuovo servizio consiste di una serie di pacchetti culturali, tematici e con diversi percorsi, che vengono scelti dall’utente finale attraverso un portale web. 		BikeGO		
http://dati.comune.roma.it/applicazioni/negozi-di-roma	Italy			Luca Leone	IT	Web		PROPOSTA APPS4ROMAPMI L'app presenta tutti gli esercizi commerciali attivi secondo il municipio, la tipologia di attività e indirizzo.L’app permette di consultare agevolmente il grande contenuto del database dell’OpenData.Seleziona il municipio di interesse, poi il tipo di attività (abbigliamento, farmacie, sartorie), consulta tutti gli indirizzi e scegli quello di tuo interesse.		Negozi di Roma		
http://dati.comune.roma.it/applicazioni/pronto-vigile	Italy			Gianfranco Coppola - Team83	IT	Web		PROPOSTA APPS4ROMAPMI L’app ha un duplice obiettivo:- Fornire utili ed importanti informazioni relative alla circolazione urbana, a contestazioni o a richiesta di particolari documenti.- Far sì che i cittadini, per primi, siano Vigili della propria zona provvedendo a segnalare particolari disagi nel quartiere di residenza.		Pronto Vigile		
http://dati.comune.roma.it/applicazioni/ifamily	Italy			Massimiliano Ferraris Di Celle	IT			PROPOSTA APPS4ROMAGRANDI AZIENDE iFamily è una app mobile pensata per dare supporto ai membri di una famiglia. L’app consente la localizzazione della propria posizione su mappa e l’individuazione dei punti di interesse (POI) nelle vicinanze o in una determinata zona oggetto di ricerca. I POI sono stati scelti selezionando una serie di dataset all’interno delle quattro categorie ritenute più utili per la famiglia: - Esercizi commerciali - Cultura e sport - Istruzione e formazione - Ambiente 		iFamily		
http://dati.comune.roma.it/applicazioni/voteseeker	Italy			Massimo Tiberi	IT	Web		PROPOSTA APPS4ROMAPMI L’applicazione "Voteseeker" è concepita come un supporto per i cittadini alla prima candidatura o molto giovani, che non possono contare su considerevoli pacchetti di preferenze già assegnati. Da una serie di complessi algoritmi e metodologie di analisi contestualizzate alla tipologia di elezione e allo scenario politico, prendendo come base di dati le ultime 3/4 tornate elettorali con voto di preferenza, si ricava un parametro per ogni sezione che chiameremo "indice di attrattività". 		VOTESEEKER		
http://dati.comune.roma.it/applicazioni/romapervoi	Italy			Proge-software	IT	Web		PROPOSTA APPS4ROMAPMI L’applicazione per i tablet di Microsoft con sistema operativo Windows 8 permette di consultare sulla mappa di Roma i punti di interesse a scelta tra centri sportivi, musei, centri di orientamento al lavoro, asili e parchi. 		RomaPerVoi		
http://dati.comune.roma.it/applicazioni/conoscere-il-territorio	Italy			Paola Raffone - Consulta del Volontariato del Municipio XV	IT			PROPOSTA APPS4ROMAPMI Archivio elettronico delle risorse del territorio raggruppate per tipologia e per quartiere, facilmente accessibili tramite sito web. 		Conoscere il Territorio		
http://dati.comune.roma.it/applicazioni/carpooling	Italy			Aldo Ursini - Capgemini	IT			PROPOSTA APPS4ROMAGRANDI AZIENDE Una soluzione "social" per razionalizzare gli spostamenti, risparmiare, aiutare l’ambiente e viaggiare sicuri. 		carPooling		
http://dati.comune.roma.it/applicazioni/roma-appsbuilder	Italy			Giorgio Grappelli	IT	Web		PROPOSTA APPS4ROMAPMI “ROMA appsbuilder” è la prima piattaforma web/mobile che consente agli utenti di:- costruire in modo veloce e intuitivo la propria applicazione mobile integrando le informazioni con gli open data forniti da Roma Capitale e dalle altre pubbliche amministrazioni- migliorare il proprio business o crearne uno nuovo attraverso i canali mobile		Roma Appsbuilder		
http://dati.comune.roma.it/applicazioni/iopartecipo	Italy			Aldo Ursini - Capgemini	IT			PROPOSTA APPS4ROMAGRANDI AZIENDE "ioPartecipo" è una soluzione per favorire la partecipazione dei cittadini alla "res publica" e al governo della città.		ioPartecipo		
http://dati.comune.roma.it/applicazioni/openroma-info-reality-browser	Italy			Luigi D'Addario - Kirey	IT			PROPOSTA APPS4ROMAPMI Progetto per la realizzazione di un sistema atto alla condivisione ed alla fruizione del patrimonio informativo pubblico della città di Roma. Tale progetto non mira esclusivamente alla condivisione di informazioni ma si propone di reinventare il modo di accedere ad esse: la Realtà Aumentata.		OpenRoma - Info Reality Browser		
http://dati.comune.roma.it/applicazioni/living-rome	Italy			Francesco Ferazzoli	IT			PROPOSTA APPS4ROMAPMI Applicazione per smartphone che mediante geolocalizzazione e open data di Roma Capitale si pone come obiettivo il miglioramento della vivibilità della città. Fornisce in modo semplice e immediato informazioni relative ai luoghi di interesse nelle vicinanze dell'utente creando itinerari e organizzando gli spostamenti (bus, taxi, macchina e a piedi) in modo efficiente fornendo tempi di percorrenza, costi e indicazioni.		LIVING ROME		
http://dati.comune.roma.it/applicazioni/apritiparomait	Italy			Claudio Sperandio e altri	IT	Web		PROPOSTA APPS4ROMAPMI Il progetto Apritiparoma.it ha l’ambizione di raggiungere diversi obiettivi: migliorare l’efficienza dell’azione amministrativa; consolidare la diffusione della conoscenza delle principali normative che regolano la produzione di atti amministrativi; implementare soluzioni tecnologiche ed organizzative che consentano di ottimizzare il presidio dei processi.		ApritipaRoma.it		
http://dati.comune.roma.it/applicazioni/giano	Italy			Vincenzo Montemurro - Movisystem s.r.l.	IT	Web		PROPOSTA APPS4ROMAPMI Le metodologie impiegate comprendono la localizzazione del dispositivo (gps), il processo di realtà aumentata.		Giano		
http://dati.comune.roma.it/applicazioni/spqr	Italy			Antonio Leone	IT	Web		PROPOSTA APPS4ROMAPMI In questa prima versione della applicazione per la piattaforma Microsoft Windows 8, è possibile consultare su mappa la posizione degli affittacamere nel Comune di Roma, filtrandoli per categoria.		SPQR		
http://dati.comune.roma.it/applicazioni/rome-shop	Italy			Quinary spa	IT			PROPOSTA APPS4ROMAPMI L’applicazione, al momento solo nella versione per smartphone con sistema operativo iOS, si occupa di fornire agli utenti un facile strumento di consultazione dati relativi alla struttura commerciale all’interno di ogni Municipio del Comune di Roma, attraverso opportuni dati filtrati.		ROME TO SHOP		
